"Player","Pick","Age","Team","3PM","3P%","FTM","FTA","FT%","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGM/40","FGA/40","FG%/40","3PA/40","3P%/40","FTM/40","FTA/40","FT%/40","TOV/40","PF/40","ORB/40","DRB/40","REB/40","AST/40","STL/40","BLK/40","PTS/40","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER"
"Willy Hernangomez",35,21,"",0,0.2,2.1,2.9,0.72,1.9,2.2,2.2,3.5,5.7,0.6,0.9,0.4,8.1,15.2,0.532,0.4,0.2,4.2,5.8,0.72,3.9,4.5,4.6,7,11.6,1.2,1.9,0.7,20.5,0.576,0.535,145.2,14.8,22,18.4,6.2,17.9,2.6,2,26.2,-8,1.3,105.6,107.3,-1.7,353.6,19.8
"Aaron White",49,22,"UI",0.6,0.356,5.7,7,0.819,1.2,1.6,2.1,5.2,7.3,1.4,1.3,0.5,6.4,12.3,0.521,2.2,0.356,7.3,8.9,0.819,1.5,2,2.7,6.6,9.3,1.8,1.7,0.6,20.9,0.633,0.553,169.7,7.6,18.5,13.1,10.2,8.5,2.6,1.7,23.5,-0.9,1.7,133.9,93.2,40.7,468,27.6
"Andrew Harrison",44,20,"UK",0.9,0.383,3.2,4.1,0.792,1.6,1.8,0.3,1.9,2.2,3.6,1,0.2,4.1,10.7,0.378,3.8,0.383,5.1,6.4,0.792,2.6,2.8,0.5,3,3.5,5.6,1.6,0.3,14.6,0.531,0.446,155.4,1.7,8.1,5.1,26,15.7,2.5,0.9,21.4,3,1.4,115.2,87.9,27.3,260.6,17.1
"Anthony Brown",34,22,"SU",2.1,0.441,3.1,3.9,0.795,1.9,2.1,1.1,5.8,6.9,2.5,0.8,0.2,5.3,12.4,0.431,5.4,0.441,3.5,4.4,0.795,2.2,2.4,1.3,6.5,7.8,2.8,0.8,0.2,16.6,0.573,0.528,166.7,3.8,18.9,11.4,15.2,13.1,1.3,0.6,21.7,-0.7,1.3,116.8,100.9,15.9,406.8,18.7
"Bobby Portis",22,20,"U of A",0.4,0.467,3.2,4.3,0.737,1.6,2.2,3.7,5.2,8.9,1.2,1.1,1.4,9.3,17.3,0.536,1.1,0.467,4.3,5.8,0.737,2.1,2.9,4.9,7,11.9,1.6,1.4,1.9,23.4,0.582,0.552,174,13.6,20.2,16.8,8.8,9.4,2.1,4.8,26.7,-2.4,1.3,122,95.8,26.2,531,27.6
"Branden Dawson",56,22,"MSU",0,0,1.5,3,0.49,1.9,2.1,2.9,6.2,9.1,1.7,1.2,1.7,6.9,12.9,0.535,0,0,1.9,3.9,0.49,2.5,2.7,3.9,8.2,12.1,2.2,1.6,2.2,15.7,0.533,0.535,102.6,11.9,23.3,17.9,12.3,14.7,2.5,6.3,23.6,-2.7,1.2,106.5,90.8,15.7,441,22.5
"Cady Lalanne",55,23,"UMass",0.1,0.167,2.8,4.5,0.636,2.6,2.7,3.4,6.1,9.5,0.3,0.6,1.9,5.9,10.8,0.552,0.8,0.167,3.9,6.2,0.636,3.5,3.7,4.7,8.4,13.1,0.4,0.8,2.6,15.9,0.582,0.558,135.5,13.5,23.4,18.5,2.4,20.5,1.2,6.4,21.4,-7.8,1.5,104.3,97.8,6.5,348.9,19.4
"Cameron Payne",14,20,"MSU",2.4,0.377,3.8,4.8,0.787,2.5,2.1,0.6,3.1,3.7,6,1.9,0.5,8.7,19.1,0.456,7.9,0.377,4.7,6,0.787,3.1,2.6,0.7,3.8,4.6,7.4,2.4,0.6,25.1,0.573,0.534,162,2.2,10.6,6.6,40,12.4,3.6,1.6,31.4,4.5,1.3,122.5,98,24.5,513.9,28.3
"Chris McCullough",29,20,"SU",0.1,1,2.5,4.4,0.563,2.2,2.5,2.2,4.6,6.9,1.1,1.7,2.1,4.8,10,0.478,0.1,1,3.6,6.3,0.563,3.1,3.6,3.2,6.6,9.8,1.6,2.4,2.9,13.2,0.508,0.482,204.1,9.3,17.5,13.6,7.8,19.3,3.6,8.4,20.5,-5.1,1.3,96.8,79.9,17,152.1,17.8
"D'Angelo Russell",2,19,"OSU",2.7,0.411,3.4,4.5,0.756,2.9,2.1,1,4.7,5.7,5,1.6,0.3,7.8,17.3,0.449,7.8,0.411,4,5.3,0.756,3.4,2.5,1.2,5.5,6.7,5.9,1.9,0.4,22.7,0.573,0.541,161.6,3.6,15.4,9.8,30.1,14.8,2.8,1.1,30.2,1.2,1.3,115.8,93.7,22,489.5,25.2
