"","Player","Pick","Age","ThreePM","ThreeP_Perc","FTM","FTA","FT_Perc","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGMForty","FGAForty","ThreePAForty","FTMForty","FTAForty","TOVForty","PFForty","ORBForty","DRBForty","REBForty","ASTForty","STLForty","BLKForty","PTSForty","TS_Perc","eFG_Perc","Total S _Perc","ORB_Perc","DRB_Perc","TRB_Perc","AST_Perc","TOV_Perc","STL_Perc","BLK_Perc","USG_Perc","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","WS","WS/48","BPM","VORP","AVG_Raptor","AVG_WAR"
"186","Willy Hernangomez",35,21,0,0.2,2.1,2.9,0.72,1.9,2.2,2.2,3.5,5.7,0.6,0.9,0.4,8.1,15.2,0.4,4.2,5.8,3.9,4.5,4.6,7,11.6,1.2,1.9,0.7,20.5,0.576,0.535,145.2,14.8,22,18.4,6.2,17.9,2.6,2,26.2,-8,1.3,105.6,107.3,-1.7,353.6,19.8,7.8,0.15275,0.525,1.4,-1.73333333333333,0.4
"187","Aaron White",49,22,0.6,0.356,5.7,7,0.819,1.2,1.6,2.1,5.2,7.3,1.4,1.3,0.5,6.4,12.3,2.2,7.3,8.9,1.5,2,2.7,6.6,9.3,1.8,1.7,0.6,20.9,0.633,0.553,169.7,7.6,18.5,13.1,10.2,8.5,2.6,1.7,23.5,-0.9,1.7,133.9,93.2,40.7,468,27.6,NA,NA,NA,NA,NA,NA
"188","Andrew Harrison",44,20,0.9,0.383,3.2,4.1,0.792,1.6,1.8,0.3,1.9,2.2,3.6,1,0.2,4.1,10.7,3.8,5.1,6.4,2.6,2.8,0.5,3,3.5,5.6,1.6,0.3,14.6,0.531,0.446,155.4,1.7,8.1,5.1,26,15.7,2.5,0.9,21.4,3,1.4,115.2,87.9,27.3,260.6,17.1,3.2,0.0054,-7.14,-0.6,-3.33333333333333,-0.0666666666666667
"189","Anthony Brown",34,22,2.1,0.441,3.1,3.9,0.795,1.9,2.1,1.1,5.8,6.9,2.5,0.8,0.2,5.3,12.4,5.4,3.5,4.4,2.2,2.4,1.3,6.5,7.8,2.8,0.8,0.2,16.6,0.573,0.528,166.7,3.8,18.9,11.4,15.2,13.1,1.3,0.6,21.7,-0.7,1.3,116.8,100.9,15.9,406.8,18.7,-0.3,0.154,4.325,-0.6,4.96666666666667,-0.0333333333333333
"190","Bobby Portis",22,20,0.4,0.467,3.2,4.3,0.737,1.6,2.2,3.7,5.2,8.9,1.2,1.1,1.4,9.3,17.3,1.1,4.3,5.8,2.1,2.9,4.9,7,11.9,1.6,1.4,1.9,23.4,0.582,0.552,174,13.6,20.2,16.8,8.8,9.4,2.1,4.8,26.7,-2.4,1.3,122,95.8,26.2,531,27.6,9,0.0802,-1.74,0.7,-2.9,0.025
"191","Branden Dawson",56,22,0,0,1.5,3,0.49,1.9,2.1,2.9,6.2,9.1,1.7,1.2,1.7,6.9,12.9,0,1.9,3.9,2.5,2.7,3.9,8.2,12.1,2.2,1.6,2.2,15.7,0.533,0.535,102.6,11.9,23.3,17.9,12.3,14.7,2.5,6.3,23.6,-2.7,1.2,106.5,90.8,15.7,441,22.5,0,0.069,-5.7,0,-20.3,-0.3
"192","Cady Lalanne",55,23,0.1,0.167,2.8,4.5,0.636,2.6,2.7,3.4,6.1,9.5,0.3,0.6,1.9,5.9,10.8,0.8,3.9,6.2,3.5,3.7,4.7,8.4,13.1,0.4,0.8,2.6,15.9,0.582,0.558,135.5,13.5,23.4,18.5,2.4,20.5,1.2,6.4,21.4,-7.8,1.5,104.3,97.8,6.5,348.9,19.4,NA,NA,NA,NA,NA,NA
"193","Cameron Payne",14,20,2.4,0.377,3.8,4.8,0.787,2.5,2.1,0.6,3.1,3.7,6,1.9,0.5,8.7,19.1,7.9,4.7,6,3.1,2.6,0.7,3.8,4.6,7.4,2.4,0.6,25.1,0.573,0.534,162,2.2,10.6,6.6,40,12.4,3.6,1.6,31.4,4.5,1.3,122.5,98,24.5,513.9,28.3,2.3,0.0256666666666667,-3.1,-0.2,-2.925,-0.05
"194","Chris McCullough",29,20,0.1,1,2.5,4.4,0.563,2.2,2.5,2.2,4.6,6.9,1.1,1.7,2.1,4.8,10,0.1,3.6,6.3,3.1,3.6,3.2,6.6,9.8,1.6,2.4,2.9,13.2,0.508,0.482,204.1,9.3,17.5,13.6,7.8,19.3,3.6,8.4,20.5,-5.1,1.3,96.8,79.9,17,152.1,17.8,0.6,0.015,-4.075,0,-2.86666666666667,0
"195","D'Angelo Russell",2,19,2.7,0.411,3.4,4.5,0.756,2.9,2.1,1,4.7,5.7,5,1.6,0.3,7.8,17.3,7.8,4,5.3,3.4,2.5,1.2,5.5,6.7,5.9,1.9,0.4,22.7,0.573,0.541,161.6,3.6,15.4,9.8,30.1,14.8,2.8,1.1,30.2,1.2,1.3,115.8,93.7,22,489.5,25.2,6.7,0.03625,-0.225,4.2,-2.225,0.975
"196","Dakari Johnson",48,19,0,0,2.3,3.7,0.625,1.1,1.8,1.7,2.9,4.6,0.7,0.4,0.9,5,9.8,0,5.7,9.1,2.6,4.3,4.2,7.1,11.3,1.8,0.9,2.3,15.6,0.553,0.506,113.1,13.4,19.2,16.5,8.9,15.8,1.4,6.1,22,-3.7,1.6,113.9,81.5,32.3,230.5,20.9,0.6,0.178,-0.3,0.1,3.7,0.5
"197","Darrun Hilliard",38,22,2.3,0.387,2.3,2.9,0.796,1.2,2.2,0.5,2.7,3.1,2.1,1.8,0.3,6.8,15.3,8.1,3.3,4.1,1.7,3.1,0.6,3.7,4.3,2.9,2.5,0.5,19.9,0.576,0.543,162.4,2,10.8,6.6,15.9,8.8,3.8,1.3,25.2,0.7,1.3,119.5,91.5,28,326.6,21.9,0.3,0.008,-5.46666666666667,-0.5,-5.6,-0.3
"198","Delon Wright",20,23,0.7,0.356,4.4,5.2,0.836,1.9,1.4,1,4,4.9,5.1,2.1,1,5.7,11.1,2.5,5.3,6.3,2.3,1.7,1.2,4.8,5.9,6.1,2.5,1.2,17.5,0.619,0.549,170.1,4,13.7,9.3,33,14.2,4,3.2,22.8,4.5,1.6,129.8,86.9,42.9,528.1,27.3,10.5,0.127,1.82,4,2.8,3.075
"199","Devin Booker",13,18,1.5,0.411,1.4,1.7,0.828,1,1.5,0.4,1.6,2,1.1,0.4,0.1,6.6,14.1,6.9,2.6,3.1,1.8,2.8,0.8,2.9,3.7,2.1,0.8,0.1,18.7,0.6,0.571,171,2.7,7.8,5.5,10.8,10.4,1.3,0.3,22.7,-1.1,1.3,122.9,90.8,32,198,18.2,9.8,0.05425,-0.7,2.7,-1.2,1.85
"200","Dom Pointer",53,23,0.1,0.08,3,4.2,0.725,2,3,1.9,5.7,7.7,3,1.9,2.4,6.1,11.7,0.9,3.5,4.8,2.3,3.5,2.2,6.6,8.9,3.4,2.2,2.8,15.8,0.566,0.527,132.9,6.3,17.2,11.9,18,14.2,3.2,7.4,21,-0.1,1.4,113.8,93.3,20.5,481,23.1,NA,NA,NA,NA,NA,NA
"201","Frank Kaminsky",9,22,1.1,0.416,4,5.1,0.78,1.6,1.7,1.5,6.7,8.2,2.6,0.8,1.5,8.1,14.9,3.1,4.8,6.1,1.9,2,1.8,8,9.8,3.1,1,1.7,22.3,0.628,0.59,174.3,6,25.5,16,18.4,9.8,1.7,4.5,28.6,0.5,1.5,129.7,91,38.6,643,32.4,11,0.08925,-0.475,2.1,-1.325,0.95
"202","J.P. Tokoto",58,21,0.3,0.375,1.9,3.1,0.615,2.2,2.4,1.6,4,5.6,4.3,1.5,0.3,4.2,9.8,1.2,2.6,4.2,3.1,3.3,2.2,5.5,7.7,5.9,2,0.5,11.4,0.484,0.45,141.8,6.4,14.2,10.5,24,20.7,2.9,1.3,17.9,2,1.2,103.8,97,6.8,345.4,15.1,NA,NA,NA,NA,NA,NA
"203","Jahlil Okafor",3,19,0,0,2.6,5.1,0.51,2.5,2.1,3.5,4.9,8.5,1.3,0.8,1.4,9.8,14.7,0,3.5,6.8,3.3,2.8,4.7,6.6,11.3,1.7,1,1.9,23,0.641,0.664,117.5,14.7,18.2,16.6,9.4,15.6,1.5,4.5,27.5,-5.4,1.6,119.9,94.7,25.2,540.8,28.5,5.2,0.0592,-2.8,-0.1,-4.425,-0.75
"204","Jarell Martin",25,21,0.4,0.269,4.2,6.2,0.69,2.8,2.8,3,6.3,9.2,1.8,1.2,0.7,7,13.7,1.8,4.8,7,3.2,3.2,3.4,7.1,10.5,2,1.3,0.8,19.3,0.565,0.526,146.8,9.7,18.1,14.1,10.5,15.7,1.9,1.8,24.8,-4.3,1.4,109.8,93.3,16.4,419.4,20.4,3.2,0.06625,-4.35,-1.7,-3.775,-0.475
